ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
2115,1979,7,18,,,,4,8,,,INDONESIA,,LOMBLEN ISLAND [LEMBATA],-8.6,123.5,60,9,,,,,1239,4,32,1,,,,3,,3,,,1239,4,,,32,1,,3,,3,,
2119,1979,9,12,5,17,51.4,4,1,5,7.9,INDONESIA,,IRIAN JAYA,-1.679,136.04,83,2,,1,,,100,2,,,,,,2,400,2,,,115,3,,,,3,,3,1000,3,,
2120,1979,10,16,13,57,,4,8,,,FRANCE,,FRENCH RIVIERA (LIGURIAN SEA),43.7,7.25,50,10,,1.6,,,9,1,,,,,,1,,,,2,9,1,,,,,,1,,,,2
2122,1979,12,12,7,59,3.3,4,1,24,7.7,COLOMBIA,,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.598,-79.358,89,6,,2.3,2.5,,600,3,20000,4,,,8,3,10000,4,,,600,3,,,20000,4,8,3,10000,4,,
2142,1983,5,26,2,59,59.6,4,1,24,7.8,JAPAN,,"NOSHIRO, JAPAN",40.462,139.102,85,14.93,,3.9,2,,100,2,324,3,,,800,4,3513,4,,,104,3,,,324,3,800,4,3513,4,,
2372,1988,8,6,0,36,24.6,0,1,91,7.2,BANGLADESH,,"JAMUNA RIVER, ARICHA, BANGLADESH",25.149,95.127,60,,,,,,3,1,,,30,1,,,,,,,2,1,30,1,,,,,,,,
2184,1988,8,10,4,38,29.2,4,1,36,7.6,SOLOMON ISLANDS,,SOLOMON ISLANDS,-10.258,160.896,82,0.09,,-3.3,,,1,1,,,,,,1,100,1,,,1,1,,,,,,1,100,2,,
2202,1991,4,22,21,56,51.8,4,1,10,7.6,COSTA RICA,,"LIMON, PANDORA",9.685,-83.073,74,3,,1,,,2,1,,,,,,1,,2,,,89,2,,,,,510,4,,,,
2213,1992,9,2,0,16,2.8,4,1,40,7.7,NICARAGUA,,NICARAGUA,11.727,-87.386,88,9.9,,3.3,2.8,,170,3,489,3,,,30,4,1500,4,,,170,3,,,489,3,30,4,1500,4,,
2214,1992,12,12,5,29,26.3,4,1,28,7.8,INDONESIA,,FLORES SEA,-8.48,121.896,60,26.2,,4.7,2.7,,1169,4,500,3,,,100,4,31785,4,,,2500,4,,,2103,4,100,4,31785,4,,
2219,1993,7,12,13,17,11.9,4,1,17,7.7,JAPAN,,SEA OF JAPAN,42.851,139.197,85,32,,5,3.1,,208,3,233,3,,,1207,4,2374,4,,,231,3,,,233,3,1207,4,2374,4,,
2227,1994,6,2,18,17,34,4,1,18,7.8,INDONESIA,,SOUTH OF JAVA,-10.477,112.835,60,13.9,,3.7,2.5,,238,3,423,3,,,2.2,2,1500,4,,,238,3,,,423,3,2.2,2,1500,4,,
2231,1994,10,8,21,44,7.2,4,1,17,6.8,INDONESIA,,HALMAHERA,-1.258,127.98,83,3,,1.6,1.5,,1,1,52,2,,,,2,,,500,3,1,1,,,52,2,,2,,,500,3
2233,1994,11,4,4,12,,4,8,,,USA,AK,"SKAGWAY, AK",59.5,-135.3,87,7.62,,3.5,2.5,,1,1,,,,,25,4,,,,,1,1,,,,,,4,,,,
