I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
6369,Tsu,1955,1,18,,,,,,,,,,,,,VENEZUELA,,VENEZUELA:  OFF THE COAST NEAR LA VELA,11.46,-69.57,90,,,,,,,,,,,,,,,,,,,,1,,,,1
4071,Tsu,1955,4,19,16,47,19,33,6.2,,6.2,,,,,10,GREECE,,GREECE:  DRAKIA-AGRIA (MAGNESIA),39.4,23.1,130,8,1,,,149,3,,4,459,3,8352,4,8,1,,,149,3,,4,459,3,8352,4
4073,Tsu,1955,4,19,20,24,5,30,7.1,,7.1,,,,,6,CHILE,,CHILE,-30,-72,160,,,,,,,,,,,,,1,1,,,,,,1,,1,,
6370,Tsu,1955,5,17,14,49,49,,7.3,,7.3,,,,,,INDIA,,INDIA:  LITTLE NICOBAR ISLAND,6.5,94,60,,,,,,,,,,,,,,,,,,,,,,,,
6371,Tsu,1955,9,8,3,27,14,33,6.5,,6.5,,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  FAURO ISLAND,-6.9,155.7,170,,,,,,,,,,,,,,,,,,,,,,,,
8029,Tsu,1955,9,23,15,6,23,10,6.8,,6.8,,,,,9,CHINA,,CHINA:  YUNNAN PROVINCE,26.6,101.8,30,,1,,,,,,3,15000,4,,,,1,,,,,,3,15000,4,,
6372,Tsu,1955,10,10,8,57,47,33,7.3,,7.3,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,-5,152.5,170,,,,,,,,,,,,,,,,,,,,,,,,
9782,Tsu,1956,1,8,20,54,13,,7.1,,7.1,,,,,5,CHILE,,CHILE,-19,-70,160,,1,,,,,,1,,,,,,1,,,,,,1,,,,
10063,Tsu,1956,3,2,22,43,,,5.3,,5.3,,,,,7,NEW ZEALAND,,NEW ZEALAND:  NORTH ISLAND,-38.9,175.7,170,,,,,,,,1,,,,,,,,,,,,1,,,,
6373,Tsu,1956,3,5,23,29,    ,20,,,,,,,,,JAPAN,,"NE. HOKKAIDO ISLAND, JAPAN",44.3,144.1,30,,,,,,,,,,,,,,,,,,,,,,,,
