I_D,TSEVENT_ID,YEAR,LATITUDE,LONGITUDE
19537,864,1856,41.81284541,141.18023
19538,864,1856,41.7167,140.95
28273,864,1856,42.55,141.95
814,864,1856,,
832,864,1856,39.03,141.87
825,864,1856,38.517,141.467
822,864,1856,40.117,141.833
820,864,1856,39.65,141.983
819,864,1856,40.5217,141.5097
818,864,1856,38.9,141.57
816,864,1856,38.267,141.033
815,864,1856,41.783,140.733
813,864,1856,40.533,141.533
812,864,1856,37.807,-122.465
811,864,1856,32.715,-117.174
821,864,1856,,
834,864,1856,38.7333,141.55
826,864,1856,41.9,141.0167
829,864,1856,39.35,141.917
839,864,1856,39.467,141.95
831,864,1856,39.3,141.9
817,864,1856,39.267,141.883
824,864,1856,39.017,141.75
19656,864,1856,-17.5331,-149.5726
28296,5503,1856,35.6,139.7
16120,866,1856,,
843,867,1856,38.368,26.136
11019,869,1857,-2.5,135.3
29746,869,1857,,
804,869,1857,-5.6,148.2
805,869,1857,-5.6,148
803,869,1857,-5.4,145.75
844,870,1857,-8.588,125.342
29173,870,1857,-3.66,128.17
845,870,1857,-8.55,125.583
16081,3439,1857,36.511,1.312
846,871,1857,35.06,138.53
11672,868,1857,41.0567,29.0348
847,872,1857,1.3718,125.0716
25325,872,1857,0.8,127.38
25326,873,1857,1.3718,125.0716
17361,4982,1858,-42.86,147.308
10799,875,1858,-29.95,-71.3353
15669,3540,1858,50.725,1.614
15670,3540,1858,51.078,1.174
19461,876,1858,26.167,127.833
848,879,1858,0.5,124
29175,879,1858,0.8,127.5
10788,879,1858,3.4,125.6
10787,879,1858,0.8,127.5
29174,879,1858,1.02,127.45
10789,879,1858,4.15,126.75
10785,879,1858,0.8,127.38
10790,879,1858,-1.6,123.56
10786,879,1858,0.7,127.37
849,880,1859,0.89,127.5
25433,880,1859,1.3718,125.0716
25434,880,1859,0.8,127.38
25435,880,1859,1.495,124.84
25436,881,1859,-4.55,129.867
25439,882,1859,0.7,127.37
25440,882,1859,0.33,127.43
25438,882,1859,-1.6,123.56
25437,882,1859,1.3718,125.0716
850,882,1859,0.8,127.38
11673,3381,1859,40,25.9
851,884,1859,13.333,-87.817
852,886,1859,37.5017,-122.4866
25315,887,1859,-4.55,129.867
854,887,1859,-4.529,129.9
855,888,1859,-27.067,-70.833
11674,891,1859,37.95,23.641
857,892,1859,-8.194,111.103
17371,5002,1859,-40.8,145.1
858,894,1859,13.567,-89.833
25314,895,1859,0.9438,124.7876
25313,896,1859,1.3718,125.0716
28185,898,1860,,
861,897,1860,18.2,-73.75
862,897,1860,19,-73.5
859,897,1860,18.3,-73.35
860,897,1860,18.517,-73.35
10685,900,1860,-12.05,-77.15
29176,901,1860,1.3,121
25312,902,1860,-1.1,128.4
863,903,1860,20.898,-156.472
864,903,1860,20.941,-156.343
28066,903,1860,,
865,903,1860,,
25442,904,1861,0.2,99.383
868,904,1861,-0.2,98.5
