ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
3395,1954,2,,,,,4,6,,,ITALY,,STROMBOLI ISLAND,38.789,15.213,50,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
2461,1954,6,26,,,,0,9,,,USA,IN,"MICHIGAN CITY, IN (LAKE MICHIGAN)",41.7,-86.883,75,3,,,,,8,1,,,,,,,,,,,7,1,,,,,,,,,,
3394,1954,9,9,1,4,37,4,3,,6.7,ALGERIA,,SEA OF ALBORAN,36.283,1.467,50,0.33,,,,,,,,,,,,,,,,,1243,4,,,5000,4,6,3,20000,4,,
1846,1954,10,,,,,2,0,,,GREENLAND,,APUTITEQ POINT,67.47,-32.283,72,18.28,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,1954,11,18,20,44,55,4,1,30,6.1,JAPAN,,"MIYAGI, JAPAN",38.9,142.2,85,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
1848,1955,1,18,,,,2,1,,5.5,VENEZUELA,,OFF THE COAST NEAR LA VELA,11.46,-69.57,74,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,1
3393,1955,4,19,16,47,19,3,1,,6.2,GREECE,,VOLOS GULF,39.4,23.1,50,,,,,,,,,,,,,,,,,,8,1,,,149,3,,4,459,3,8352,4
1849,1955,4,19,20,24,5,4,1,30,7.1,CHILE,,CENTRAL CHILE,-30,-72,89,1,,,1,,1,1,,,,,,1,,1,,,1,1,,,,,,1,,1,,
1850,1955,5,17,14,49,49,2,1,,7.3,INDIA,,LITTLE NICOBAR ISLAND,6.5,94,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,1955,9,8,3,27,14,3,1,33,6.5,PAPUA NEW GUINEA,,SOLOMON SEA,-6.9,155.7,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3573,1955,9,23,15,6,23,0,1,10,6.8,CHINA,,"JINSHA RIVER, YUNNAN PROVINCE",26.6,101.8,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,1956,1,8,20,54,13,1,1,55,7.1,CHILE,,NORTHERN CHILE,-19,-70,89,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
5540,1956,3,2,22,43,,0,1,,5.3,NEW ZEALAND,,"LAKE TAUPO, NORTH ISLAND",-38.9,175.8,81,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,1956,3,5,23,29,,4,1,20,6.3,JAPAN,,NE. HOKKAIDO ISLAND,44.3,144.1,85,0.4,,-1.3,-2,,,,,,,,,,,,,,,,,,,,,,,,,
1856,1956,3,30,6,11,,2,6,,,RUSSIA,,KAMCHATKA,55.978,160.587,86,0.3,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,1956,7,9,3,11,39,4,1,20,7.8,GREECE,,CYCLADES,36.9,26,50,30,,5,5,,3,1,,,,,,2,,,,,56,2,,,,,,3,,,,
